DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
77,75,85,90,78,95,75,10,6,7,HTML/CSS,React,Software Engineer
99,88,82,79,84,90,70,7,6,8,Linux,Angular,Software Engineer
83,90,79,75,79,94,63,7,6,5,Oracle,Java,Software Engineer
92,83,81,81,70,84,62,10,6,7,Angular,HTML/CSS,Software Engineer
80,88,83,90,73,80,72,10,6,6,Oracle,HTML/CSS,Software Engineer
77,86,87,89,85,86,75,10,6,5,HTML/CSS,Python,Software Engineer
79,84,83,77,71,94,74,8,7,5,Javascript,React,Software Engineer
92,84,78,77,82,84,70,8,6,4,C/C++,Java,Software Engineer
83,91,76,78,75,84,74,9,7,4,HTML/CSS,Javascript,Software Engineer
97,84,89,77,83,80,75,7,7,3,Linux,HTML/CSS,Software Engineer
83,78,82,82,72,89,61,7,7,8,React,Angular,Software Engineer
96,78,81,85,78,98,70,8,6,5,Python,MYSQL,Software Engineer
81,75,90,83,72,98,71,7,6,8,Angular,Linux,Software Engineer
98,79,82,75,72,97,68,10,7,3,C/C++,Python,Software Engineer
79,81,76,77,82,80,62,10,6,7,HTML/CSS,Python,Software Engineer
76,87,87,89,85,88,73,7,5,4,Python,HTML/CSS,Software Engineer
97,88,78,89,74,86,63,10,7,4,MYSQL,Java,Software Engineer
84,77,78,82,75,89,71,9,6,3,Angular,MYSQL,Software Engineer
81,82,80,79,81,96,68,7,6,4,HTML/CSS,MYSQL,Software Engineer
96,89,84,77,83,95,69,10,5,6,Angular,Javascript,Software Engineer
76,86,84,90,78,85,62,9,7,7,React,MYSQL,Software Engineer
87,83,89,79,80,82,65,10,7,5,MYSQL,C/C++,Software Engineer
92,80,85,76,77,86,62,10,6,5,Java,Oracle,Software Engineer
79,83,87,78,77,96,68,7,6,4,Python,MYSQL,Software Engineer
94,85,84,85,80,82,71,8,7,4,Angular,Javascript,Software Engineer
82,77,84,88,83,95,71,9,6,7,Python,C/C++,Software Engineer
86,82,84,88,81,87,65,8,5,5,Linux,MYSQL,Software Engineer
94,86,75,88,78,86,76,7,7,4,Java,HTML/CSS,Software Engineer
99,92,89,89,75,80,66,7,6,4,React,MYSQL,Software Engineer
80,84,76,82,74,83,63,10,7,4,Javascript,Angular,Software Engineer
93,79,83,77,74,86,63,8,6,3,Javascript,C/C++,Software Engineer
91,86,75,76,85,81,75,9,6,7,Python,Javascript,Software Engineer
96,86,86,78,74,81,66,8,5,8,React,Oracle,Software Engineer
77,92,88,82,82,88,69,7,7,8,MYSQL,Linux,Software Engineer
81,78,80,85,75,84,72,9,5,8,HTML/CSS,Python,Software Engineer
96,89,87,77,77,80,69,10,6,8,Angular,C/C++,Software Engineer
90,85,78,86,72,91,63,8,6,6,Javascript,Linux,Software Engineer
84,90,88,75,73,86,62,10,6,3,Angular,Linux,Software Engineer
75,92,76,76,78,98,65,9,5,4,Oracle,Javascript,Software Engineer
98,79,77,80,84,94,75,10,7,5,Oracle,Javascript,Software Engineer
76,80,81,87,76,95,72,7,5,6,C/C++,Javascript,Software Engineer
73,81,80,83,53,65,69,4,4,0,Linux,MYSQL,Database Administrator
75,95,74,71,35,47,70,4,5,2,HTML/CSS,Linux,Database Administrator
65,98,88,61,37,64,66,5,7,3,HTML/CSS,MYSQL,Database Administrator
56,96,75,65,45,73,76,6,6,1,Oracle,Linux,Database Administrator
74,100,85,73,65,59,78,6,6,0,HTML/CSS,C/C++,Database Administrator
66,93,86,75,51,47,82,4,3,3,Linux,C/C++,Database Administrator
71,84,67,65,37,46,77,5,7,0,HTML/CSS,Linux,Database Administrator
70,84,79,83,39,74,74,7,3,3,MYSQL,C/C++,Database Administrator
61,95,86,64,65,74,78,6,5,0,C/C++,MYSQL,Database Administrator
59,94,83,78,47,64,66,5,6,0,MYSQL,C/C++,Database Administrator
62,82,80,69,35,50,83,7,5,0,HTML/CSS,Linux,Database Administrator
55,96,79,73,65,52,79,6,6,2,Linux,HTML/CSS,Database Administrator
74,97,82,84,36,60,81,7,6,1,HTML/CSS,C/C++,Database Administrator
62,82,85,82,35,55,80,5,6,2,C/C++,Oracle,Database Administrator
56,92,69,75,52,46,80,4,5,0,Oracle,C/C++,Database Administrator
75,99,71,80,35,58,71,7,3,2,Linux,Oracle,Database Administrator
67,82,77,60,36,69,68,7,3,0,Oracle,C/C++,Database Administrator
72,89,88,71,39,47,82,5,3,2,MYSQL,HTML/CSS,Database Administrator
63,95,78,68,46,66,77,7,5,3,C/C++,HTML/CSS,Database Administrator
63,94,75,71,65,64,81,7,7,2,HTML/CSS,Oracle,Database Administrator
69,86,77,77,50,50,80,4,5,2,Oracle,Linux,Database Administrator
64,97,79,74,45,73,65,6,5,1,Oracle,HTML/CSS,Database Administrator
62,80,71,85,42,72,80,5,3,0,C/C++,MYSQL,Database Administrator
61,97,67,71,41,50,79,6,7,2,Linux,Oracle,Database Administrator
57,89,68,75,43,67,80,4,4,0,MYSQL,HTML/CSS,Database Administrator
63,89,82,66,48,73,73,4,5,0,C/C++,HTML/CSS,Database Administrator
65,92,79,70,37,72,68,7,5,3,HTML/CSS,MYSQL,Database Administrator
55,97,71,76,40,65,83,7,6,3,Oracle,HTML/CSS,Database Administrator
57,87,80,62,60,73,71,5,4,2,C/C++,Linux,Database Administrator
56,81,77,83,57,58,78,4,5,3,C/C++,MYSQL,Database Administrator
58,92,71,80,63,61,79,7,4,0,Linux,HTML/CSS,Database Administrator
75,92,87,74,48,75,71,7,6,3,Linux,C/C++,Database Administrator
62,96,81,67,57,61,85,7,3,3,Linux,C/C++,Database Administrator
59,80,68,67,50,52,68,7,5,3,C/C++,MYSQL,Database Administrator
57,81,88,69,48,50,67,5,5,0,C/C++,Linux,Database Administrator
61,100,70,61,62,72,82,4,5,3,Linux,C/C++,Database Administrator
74,81,76,63,56,70,66,6,7,2,C/C++,Linux,Database Administrator
62,97,74,84,35,72,76,6,7,0,Linux,MYSQL,Database Administrator
62,88,84,82,48,74,78,6,5,3,Linux,HTML/CSS,Database Administrator
74,82,79,76,46,56,71,6,3,2,Oracle,Linux,Database Administrator
61,97,70,74,52,45,65,5,5,3,HTML/CSS,C/C++,Database Administrator
61,92,73,76,61,73,72,4,7,0,HTML/CSS,Linux,Database Administrator
64,87,79,82,40,55,67,6,6,1,Linux,MYSQL,Database Administrator
67,92,66,82,58,65,72,5,4,3,C/C++,Linux,Database Administrator
73,80,88,85,61,46,71,6,5,0,Oracle,C/C++,Database Administrator
68,82,85,76,49,61,80,6,5,0,MYSQL,Oracle,Database Administrator
72,93,83,78,64,53,72,6,6,2,Oracle,Linux,Database Administrator
61,89,85,63,56,61,80,7,5,0,C/C++,HTML/CSS,Database Administrator
62,81,69,76,42,59,72,6,5,1,Linux,MYSQL,Database Administrator
63,81,82,75,55,50,77,7,3,2,MYSQL,Oracle,Database Administrator
60,83,73,62,45,54,69,7,5,0,HTML/CSS,MYSQL,Database Administrator
75,92,81,71,63,54,77,7,5,0,HTML/CSS,Linux,Database Administrator
70,84,84,81,42,71,65,7,3,0,Oracle,Linux,Database Administrator
69,90,69,63,59,69,83,6,7,0,Linux,MYSQL,Database Administrator
71,95,88,81,49,62,67,5,3,3,HTML/CSS,C/C++,Database Administrator
63,82,65,73,57,54,75,7,3,1,C/C++,MYSQL,Database Administrator
56,91,69,60,44,62,84,6,5,3,MYSQL,HTML/CSS,Database Administrator
59,99,82,81,42,67,70,4,6,2,HTML/CSS,C/C++,Database Administrator
57,81,67,62,39,70,74,4,7,3,MYSQL,Linux,Database Administrator
73,93,88,71,35,54,70,4,7,2,C/C++,Oracle,Database Administrator
67,91,81,76,36,50,71,7,6,0,MYSQL,Oracle,Database Administrator
62,89,70,76,60,51,77,6,3,2,Oracle,MYSQL,Database Administrator
74,87,77,77,51,58,66,4,4,3,Linux,C/C++,Database Administrator
70,86,75,74,36,58,83,6,7,0,MYSQL,Oracle,Database Administrator
69,88,75,72,42,54,69,6,6,3,C/C++,MYSQL,Database Administrator
64,86,70,79,62,59,69,6,7,2,Linux,HTML/CSS,Database Administrator
63,86,66,67,57,49,70,5,4,2,MYSQL,Linux,Database Administrator
55,90,85,84,56,60,74,6,4,1,C/C++,Linux,Database Administrator
57,84,80,68,39,71,65,7,7,2,HTML/CSS,C/C++,Database Administrator
75,96,78,85,37,71,68,5,7,1,HTML/CSS,MYSQL,Database Administrator
66,92,86,63,46,45,80,5,3,1,Oracle,C/C++,Database Administrator
67,82,71,70,40,54,78,7,7,1,C/C++,Oracle,Database Administrator
73,81,79,63,51,45,71,4,4,0,HTML/CSS,C/C++,Database Administrator
62,84,67,73,63,74,80,5,3,3,Linux,Oracle,Database Administrator
71,98,65,84,55,70,67,5,6,1,C/C++,Oracle,Database Administrator
64,91,73,74,45,47,82,7,7,3,C/C++,Linux,Database Administrator
63,86,68,82,61,72,85,5,5,1,Oracle,Linux,Database Administrator
74,90,72,69,58,61,74,5,3,1,C/C++,HTML/CSS,Database Administrator
71,82,70,78,35,66,65,4,7,1,MYSQL,Linux,Database Administrator
70,92,87,80,48,60,73,4,5,1,C/C++,HTML/CSS,Database Administrator
64,87,80,72,46,56,83,5,4,3,HTML/CSS,MYSQL,Database Administrator
73,83,72,65,43,52,75,5,6,3,C/C++,HTML/CSS,Database Administrator
58,90,70,69,49,54,73,5,4,1,HTML/CSS,MYSQL,Database Administrator
73,91,86,69,37,63,76,4,5,0,Linux,Oracle,Database Administrator
61,89,86,60,54,52,67,4,3,3,MYSQL,HTML/CSS,Database Administrator
61,82,85,66,58,62,67,6,7,0,HTML/CSS,MYSQL,Database Administrator
66,98,88,85,42,66,83,6,5,1,Linux,Oracle,Database Administrator
67,100,78,75,35,74,67,5,7,1,MYSQL,Linux,Database Administrator
68,85,66,72,46,66,78,6,6,1,HTML/CSS,C/C++,Database Administrator
65,82,66,74,37,70,65,7,7,1,Oracle,HTML/CSS,Database Administrator
71,88,88,70,58,52,82,4,6,2,C/C++,Oracle,Database Administrator
59,80,72,78,61,67,70,7,4,0,HTML/CSS,Oracle,Database Administrator
73,80,88,71,57,62,84,7,5,3,Oracle,C/C++,Database Administrator
74,91,71,64,50,54,78,6,5,2,HTML/CSS,C/C++,Database Administrator
62,93,74,83,46,69,73,5,7,0,C/C++,Oracle,Database Administrator
57,90,84,68,54,48,72,5,4,3,HTML/CSS,Oracle,Database Administrator
60,94,71,81,59,75,85,7,3,1,Oracle,C/C++,Database Administrator
65,87,88,73,59,53,69,4,3,3,MYSQL,Oracle,Database Administrator
64,94,65,60,35,72,73,7,5,2,Oracle,HTML/CSS,Database Administrator
70,84,68,60,45,71,69,5,7,1,Oracle,HTML/CSS,Database Administrator
64,100,78,71,64,66,71,4,4,1,Oracle,C/C++,Database Administrator
88,68,75,94,83,67,84,5,4,0,Ansible,Python,Network Engineer
72,71,80,88,78,80,82,6,6,1,BASH/SHELL,Wire Shark,Network Engineer
73,46,81,89,72,79,78,6,6,1,Cisco Packet tracer,Wire Shark,Network Engineer
76,73,81,89,81,71,77,7,6,1,Ansible,Cisco Packet tracer,Network Engineer
82,72,88,91,79,85,85,6,7,1,Wire Shark,Linux,Network Engineer
84,56,80,82,77,75,77,8,5,2,Ansible,BASH/SHELL,Network Engineer
73,60,78,89,83,85,83,7,5,0,BASH/SHELL,Ansible,Network Engineer
74,73,75,96,72,79,73,8,7,0,BASH/SHELL,Cisco Packet tracer,Network Engineer
79,73,88,92,80,70,78,6,7,2,Python,Wire Shark,Network Engineer
77,52,79,94,67,78,75,8,5,2,Cisco Packet tracer,Linux,Network Engineer
83,71,82,89,76,71,78,5,5,1,Ansible,BASH/SHELL,Network Engineer
77,50,78,92,81,73,75,7,6,0,Wire Shark,Ansible,Network Engineer
74,56,86,89,74,76,78,7,5,0,Ansible,BASH/SHELL,Network Engineer
72,48,76,90,72,70,76,6,5,1,Ansible,Python,Network Engineer
82,66,76,90,81,72,72,6,5,0,Cisco Packet tracer,Wire Shark,Network Engineer
88,48,78,91,70,81,73,5,6,0,BASH/SHELL,Cisco Packet tracer,Network Engineer
75,63,88,99,85,83,84,8,4,1,Linux,Ansible,Network Engineer
83,60,78,80,68,73,70,7,4,2,Linux,Python,Network Engineer
84,67,76,98,67,78,70,6,4,1,Wire Shark,Ansible,Network Engineer
78,60,87,85,84,77,72,8,7,0,Python,Ansible,Network Engineer
84,47,75,99,73,78,70,7,4,0,Python,BASH/SHELL,Network Engineer
85,72,81,95,75,72,76,6,6,1,BASH/SHELL,Python,Network Engineer
79,49,75,100,79,72,78,7,6,2,BASH/SHELL,Cisco Packet tracer,Network Engineer
83,56,83,97,80,74,90,6,7,1,Python,Linux,Network Engineer
76,64,89,84,67,73,89,6,6,1,BASH/SHELL,Cisco Packet tracer,Network Engineer
85,50,76,82,82,73,90,6,4,2,Linux,Ansible,Network Engineer
85,66,87,82,82,83,78,5,4,0,Python,Ansible,Network Engineer
78,69,84,86,84,68,77,8,5,0,BASH/SHELL,Python,Network Engineer
72,73,86,84,73,72,77,8,5,1,Python,Ansible,Network Engineer
88,55,79,100,75,70,70,6,6,0,Wire Shark,Cisco Packet tracer,Network Engineer
84,62,76,92,80,79,87,7,7,2,Linux,Cisco Packet tracer,Network Engineer
87,54,80,82,74,68,72,6,6,0,Python,BASH/SHELL,Network Engineer
74,71,89,87,76,81,78,7,7,0,Wire Shark,Linux,Network Engineer
86,56,83,86,74,80,82,7,6,1,Python,Wire Shark,Network Engineer
74,64,76,87,71,68,78,6,6,1,Cisco Packet tracer,BASH/SHELL,Network Engineer
87,48,77,86,72,71,87,6,7,2,Cisco Packet tracer,Python,Network Engineer
85,72,76,96,81,71,90,5,6,1,Linux,Cisco Packet tracer,Network Engineer
73,67,87,82,80,78,89,8,7,0,BASH/SHELL,Python,Network Engineer
88,69,86,85,74,72,78,6,6,2,Python,Wire Shark,Network Engineer
83,53,76,88,78,67,87,5,7,1,Cisco Packet tracer,Wire Shark,Network Engineer
79,64,86,100,85,74,87,7,6,0,BASH/SHELL,Python,Network Engineer
74,49,80,98,79,74,90,8,4,1,Wire Shark,BASH/SHELL,Network Engineer
77,50,80,97,68,75,70,8,6,1,Python,Linux,Network Engineer
72,69,75,82,78,75,72,8,4,2,Linux,Python,Network Engineer
84,62,90,81,81,83,80,8,4,0,Ansible,BASH/SHELL,Network Engineer
76,69,79,85,80,69,75,5,4,1,Ansible,Cisco Packet tracer,Network Engineer
79,54,80,97,76,74,88,7,4,1,Python,Ansible,Network Engineer
75,62,85,84,79,67,87,8,6,2,Ansible,BASH/SHELL,Network Engineer
81,60,80,99,81,75,74,6,6,2,Ansible,Cisco Packet tracer,Network Engineer
87,53,89,90,76,78,87,6,6,1,Wire Shark,Ansible,Network Engineer
72,45,84,84,78,81,84,8,6,2,Python,Ansible,Network Engineer
84,57,79,93,75,81,70,5,4,2,Ansible,Cisco Packet tracer,Network Engineer
83,61,87,97,85,70,87,5,6,1,BASH/SHELL,Python,Network Engineer
73,69,87,99,68,79,83,8,5,0,Python,Wire Shark,Network Engineer
76,65,75,98,79,76,82,7,5,0,Cisco Packet tracer,Wire Shark,Network Engineer
84,59,81,83,78,72,75,5,6,2,Ansible,Cisco Packet tracer,Network Engineer
84,58,83,86,67,71,73,5,5,0,Python,Ansible,Network Engineer
86,64,89,80,78,73,75,6,4,2,Wire Shark,Cisco Packet tracer,Network Engineer
84,50,78,81,83,70,71,6,4,2,Wire Shark,Python,Network Engineer
78,68,80,86,73,82,76,6,4,1,Python,Wire Shark,Network Engineer
86,70,82,80,77,68,87,7,5,1,Ansible,Linux,Network Engineer
74,64,85,87,75,81,87,5,6,1,Wire Shark,BASH/SHELL,Network Engineer
76,66,79,99,70,85,75,8,5,1,Python,Wire Shark,Network Engineer
77,56,77,93,83,80,79,8,6,2,Linux,Wire Shark,Network Engineer
88,72,75,95,80,69,85,8,7,0,Wire Shark,Ansible,Network Engineer
79,70,88,97,68,74,82,5,6,1,BASH/SHELL,Python,Network Engineer
72,56,78,94,77,82,74,5,5,0,Linux,BASH/SHELL,Network Engineer
83,46,75,97,76,69,79,7,7,1,Cisco Packet tracer,BASH/SHELL,Network Engineer
84,70,85,100,73,77,71,6,6,2,Cisco Packet tracer,Python,Network Engineer
80,47,88,91,74,69,71,6,5,0,Python,BASH/SHELL,Network Engineer
85,63,90,82,74,68,88,7,4,2,BASH/SHELL,Python,Network Engineer
77,70,82,99,81,75,82,6,5,0,Wire Shark,Python,Network Engineer
72,57,89,81,69,69,72,7,7,2,Wire Shark,Python,Network Engineer
82,63,87,100,74,68,74,7,4,2,Python,Ansible,Network Engineer
72,56,80,93,74,84,83,8,6,2,Python,Ansible,Network Engineer
86,57,77,85,73,81,72,7,5,0,Ansible,Linux,Network Engineer
74,57,84,99,70,84,84,6,4,0,Linux,Ansible,Network Engineer
84,48,88,99,79,80,88,5,6,2,Linux,Python,Network Engineer
85,59,85,86,70,84,88,5,5,0,Python,BASH/SHELL,Network Engineer
80,63,87,82,79,69,75,8,4,1,Wire Shark,Python,Network Engineer
76,65,90,89,81,76,83,7,6,0,BASH/SHELL,Wire Shark,Network Engineer
87,47,84,94,83,79,86,6,5,0,Wire Shark,Python,Network Engineer
80,54,89,85,77,75,83,5,6,0,Python,Cisco Packet tracer,Network Engineer
81,47,83,96,72,74,89,8,7,0,Ansible,Linux,Network Engineer
72,57,86,100,74,79,77,6,4,1,Ansible,Cisco Packet tracer,Network Engineer
77,72,84,95,80,76,90,8,4,1,Ansible,Cisco Packet tracer,Network Engineer
76,72,89,88,78,78,80,6,6,2,Ansible,Linux,Network Engineer
84,69,89,86,81,72,81,6,7,2,BASH/SHELL,Ansible,Network Engineer
74,51,79,100,76,77,74,6,6,1,Ansible,Linux,Network Engineer
72,67,80,80,82,80,74,6,7,0,BASH/SHELL,Ansible,Network Engineer
82,63,86,94,70,72,88,6,4,0,Ansible,Python,Network Engineer
76,69,83,94,74,75,90,5,4,0,Ansible,BASH/SHELL,Network Engineer
81,63,81,95,83,80,83,7,6,0,Linux,Cisco Packet tracer,Network Engineer
77,48,75,93,82,83,77,8,5,0,Wire Shark,Ansible,Network Engineer
73,58,81,90,72,79,89,5,7,2,Python,Cisco Packet tracer,Network Engineer
88,73,82,89,79,84,72,6,5,2,Wire Shark,Ansible,Network Engineer
72,70,83,89,78,78,70,6,4,1,Cisco Packet tracer,Python,Network Engineer
82,58,88,83,81,72,70,6,4,1,Linux,Wire Shark,Network Engineer
81,63,77,80,74,71,86,7,4,0,Ansible,Wire Shark,Network Engineer
73,63,76,82,79,85,90,6,5,2,Wire Shark,Python,Network Engineer
80,50,75,92,69,76,78,6,7,1,Cisco Packet tracer,Linux,Network Engineer
17,18,13,33,21,31,69,4,4,1,HTML/CSS,C/C++,Tech Support
6,11,12,12,16,22,61,5,3,1,C/C++,Python,Tech Support
28,22,24,20,23,37,83,5,3,1,Python,HTML/CSS,Tech Support
8,5,7,24,8,29,67,4,4,0,Java,HTML/CSS,Tech Support
27,12,13,31,2,30,82,1,2,0,HTML/CSS,C/C++,Tech Support
8,18,16,12,17,40,65,5,6,0,HTML/CSS,C/C++,Tech Support
27,14,18,13,3,23,66,1,5,1,C/C++,Python,Tech Support
31,18,9,11,1,38,63,2,6,0,C/C++,Java,Tech Support
21,26,35,30,21,16,82,3,6,0,C/C++,HTML/CSS,Tech Support
12,12,23,28,19,27,73,3,5,1,HTML/CSS,Java,Tech Support
5,20,27,21,23,30,84,2,2,1,Python,HTML/CSS,Tech Support
6,31,16,12,21,30,61,2,6,0,Python,C/C++,Tech Support
15,13,9,26,18,45,78,1,6,0,Python,C/C++,Tech Support
34,15,6,30,20,15,74,1,4,1,HTML/CSS,Java,Tech Support
26,31,7,8,11,18,77,4,2,0,HTML/CSS,C/C++,Tech Support
16,6,34,10,19,19,85,1,6,1,Java,HTML/CSS,Tech Support
7,20,14,10,20,31,73,2,5,1,Java,Python,Tech Support
28,23,6,28,2,20,59,5,4,1,Python,Java,Tech Support
10,16,16,25,5,17,67,2,2,0,HTML/CSS,Java,Tech Support
15,19,31,16,1,37,70,4,6,0,C/C++,HTML/CSS,Tech Support
13,20,30,7,3,18,66,5,3,0,Java,Python,Tech Support
10,26,5,12,10,24,58,1,3,1,HTML/CSS,Java,Tech Support
23,30,13,34,8,22,61,5,6,0,Python,HTML/CSS,Tech Support
33,12,9,34,3,35,85,4,5,0,C/C++,HTML/CSS,Tech Support
20,27,15,5,10,38,60,2,3,1,Python,HTML/CSS,Tech Support
10,31,7,33,4,15,76,3,6,1,Java,Python,Tech Support
25,12,17,12,12,19,67,5,3,1,Python,Java,Tech Support
29,30,21,13,12,18,81,1,5,0,Java,C/C++,Tech Support
20,17,10,16,22,18,60,5,5,0,Python,Java,Tech Support
32,9,10,9,1,45,75,5,2,0,Python,Java,Tech Support
13,25,22,19,1,31,58,1,2,1,C/C++,HTML/CSS,Tech Support
35,5,9,16,15,31,80,4,5,1,C/C++,Java,Tech Support
16,7,33,27,15,35,61,2,2,1,HTML/CSS,Java,Tech Support
30,19,22,25,13,43,79,5,5,0,Python,C/C++,Tech Support
26,16,14,32,4,20,73,1,3,0,C/C++,Python,Tech Support
35,7,27,17,4,32,79,1,2,0,HTML/CSS,C/C++,Tech Support
17,27,5,28,18,24,62,3,4,1,Python,C/C++,Tech Support
8,15,14,25,2,34,70,5,4,1,HTML/CSS,Java,Tech Support
35,10,12,18,6,39,81,3,6,1,Java,C/C++,Tech Support
21,6,15,33,20,26,61,3,2,0,Java,HTML/CSS,Tech Support
7,10,24,26,24,22,80,2,5,0,Python,HTML/CSS,Tech Support
11,21,29,14,8,15,67,1,2,1,HTML/CSS,Java,Tech Support
5,35,11,27,2,16,59,3,2,1,Python,Java,Tech Support
25,34,12,15,13,26,72,1,4,1,Python,Java,Tech Support
21,7,15,32,16,28,80,4,2,1,Python,HTML/CSS,Tech Support
14,8,35,31,13,39,67,1,4,0,Python,C/C++,Tech Support
26,20,19,5,14,40,81,5,5,1,Python,Java,Tech Support
31,18,13,34,21,42,78,1,5,1,C/C++,HTML/CSS,Tech Support
14,16,33,8,21,44,58,3,6,0,C/C++,Java,Tech Support
9,12,29,27,25,24,67,5,5,0,HTML/CSS,Java,Tech Support
34,30,13,31,11,33,67,2,4,0,Java,C/C++,Tech Support
6,15,28,31,18,31,63,5,2,1,HTML/CSS,Java,Tech Support
35,7,24,27,3,43,77,2,4,1,C/C++,Java,Tech Support
20,33,25,7,13,31,62,3,2,0,C/C++,Python,Tech Support
11,32,34,14,23,28,56,5,5,0,Java,C/C++,Tech Support
30,32,17,10,8,15,80,3,6,0,HTML/CSS,C/C++,Tech Support
8,22,30,25,5,38,60,3,2,1,Python,Java,Tech Support
33,33,17,10,6,33,74,3,6,0,Java,HTML/CSS,Tech Support
15,6,29,19,1,15,75,3,4,1,Java,C/C++,Tech Support
31,8,34,24,0,26,65,5,5,1,C/C++,Java,Tech Support
20,35,20,11,12,37,60,1,6,0,HTML/CSS,Java,Tech Support
14,6,32,25,21,39,60,2,2,1,Python,Java,Tech Support
26,20,25,33,25,17,85,1,6,0,C/C++,Python,Tech Support
27,11,29,7,7,35,72,2,6,0,C/C++,Python,Tech Support
8,23,10,14,0,40,72,4,5,0,HTML/CSS,Python,Tech Support
22,29,26,15,8,18,82,2,3,0,HTML/CSS,C/C++,Tech Support
15,10,20,34,8,32,77,4,5,1,HTML/CSS,Python,Tech Support
32,8,14,13,10,16,80,4,2,0,C/C++,Java,Tech Support
32,35,11,27,17,37,79,2,3,0,C/C++,Python,Tech Support
12,34,24,31,0,29,61,4,4,0,HTML/CSS,Java,Tech Support
32,10,20,15,5,26,84,5,3,0,HTML/CSS,Java,Tech Support
35,15,31,33,3,44,64,5,5,1,Java,Python,Tech Support
18,22,29,11,19,29,60,4,2,0,HTML/CSS,C/C++,Tech Support
30,31,23,26,12,32,59,5,6,0,Python,Java,Tech Support
24,14,29,35,2,23,56,5,3,0,Java,C/C++,Tech Support
30,27,28,35,14,16,58,5,2,1,Python,C/C++,Tech Support
32,6,26,32,14,37,67,3,4,0,HTML/CSS,Java,Tech Support
32,22,32,5,15,39,76,5,6,0,Java,C/C++,Tech Support
24,24,28,26,6,25,80,3,5,1,Python,HTML/CSS,Tech Support
11,20,27,15,10,36,69,2,5,1,Python,HTML/CSS,Tech Support
23,13,26,33,22,45,80,1,5,1,HTML/CSS,C/C++,Tech Support
32,26,35,32,19,21,75,2,6,1,HTML/CSS,Java,Tech Support
24,27,14,34,6,42,84,3,6,1,Java,HTML/CSS,Tech Support
12,24,27,26,13,27,84,1,3,0,HTML/CSS,C/C++,Tech Support
20,9,19,27,18,20,76,3,3,0,HTML/CSS,C/C++,Tech Support
21,34,8,5,5,16,83,2,6,0,Java,C/C++,Tech Support
8,11,5,5,5,31,75,3,4,0,C/C++,HTML/CSS,Tech Support
24,32,5,21,17,18,82,5,6,1,HTML/CSS,C/C++,Tech Support
28,31,7,16,16,45,62,4,5,1,Python,C/C++,Tech Support
24,5,25,9,14,21,59,2,4,0,HTML/CSS,Java,Tech Support
6,8,12,6,7,45,61,5,3,1,Python,HTML/CSS,Tech Support
24,19,35,6,12,36,58,1,2,0,HTML/CSS,C/C++,Tech Support
31,32,7,20,6,22,72,5,3,0,HTML/CSS,Java,Tech Support
19,29,21,23,16,28,55,4,2,1,Java,HTML/CSS,Tech Support
21,15,9,21,13,23,80,4,6,1,Java,C/C++,Tech Support
16,28,19,11,4,43,78,5,6,0,HTML/CSS,Python,Tech Support
17,32,18,11,7,40,60,2,6,1,Python,C/C++,Tech Support
7,22,25,33,8,29,71,3,5,0,Python,HTML/CSS,Tech Support
35,5,13,20,17,45,55,3,5,1,Python,Java,Tech Support
16,28,6,7,18,33,67,3,4,1,C/C++,HTML/CSS,Tech Support
18,12,10,28,22,31,55,5,3,1,Java,HTML/CSS,Tech Support
